fecha_registro,url,url_archivo,operación,tipo_inmueble,colonia,precio,m2_construccion,m2_terreno,recamaras,banos,estacionamientos,antigüedad,es_preventa,notas
2026-06-01,https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-santa-gertrudis-copo-zona-norte-de-merida-149999294.html,,venta,casa,santa gertrudis copo,5500000,283,283,2,3,2,,si,"piscina, bodega, en construcción a fecha de registro"
2026-06-01,https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-santa-gertrudis-copo-149988277.html,,venta,casa,santa gertrudis copo,3360000,200,227,3,2,2,,si,"obra gris, bodega, sistema lock-off, 3.5 baños"
2026-06-01,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-planta-baja-en-venta-en-merida-149866857.html,,venta,departamento,santa gertrudis copo,2900000,102,102,2,2,1,4,no,"condominio Altamura, planta baja"
2026-06-01,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-con-elevador-en-merida-yucatan-149928894.html,,venta,departamento,santa gertrudis copo,1790000,42,42,2,2,1,,si,"piscina, elevador, seguridad privada"
2026-06-01,https://www.inmuebles24.com/propiedades/clasificado/veclcain-residencia-de-ensueno-comoda-moderna-espaciosa-y-149960779.html,,venta,casa,santa gertrudis copo,16900000,542,1346,3,4,4,5,no,"alberca con jacuzzi, bar, cuarto de servicio, bodega, una planta, 4.5 baños"
2026-06-01,https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-venta-en-privada-de-3-recamaras-en-santa-149897866.html,,venta,casa,santa gertrudis copo,4300000,220,250,3,4,2,13,no,"privada con vigilancia, piscina, bar, cuarto de servicio, paneles solares, mantenimiento $1,850/mes, 4.5 baños"
2026-06-01,https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-venta-en-fraccionamiento-algarrobos-en-merida-149961493.html,,venta,casa,santa gertrudis copo,5900000,253,414,5,4,2,,no,"alberca, oficina, 4.5 baños"
2026-06-01,https://www.inmuebles24.com/propiedades/clasificado/veclcain-venta-casa-en-santa-gertrudis-copo-merida-con-gran-149920436.html,,venta,casa,santa gertrudis copo,16900000,542,1346,3,4,4,5,no,"alberca con jacuzzi, bar, cuarto de servicio con cocina, bodega, una planta, 4.5 baños, posible duplicado casa 16"
2026-06-01,https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-venta-merida-santa-gertrudis-copo-150012443.html,,venta,casa,santa gertrudis copo,6400000,252,293,3,3,2,,si,"privada Navita, vigilancia 24/7, piscina propia 9x3m, gym, salón de eventos, bodega, mantenimiento $2,700 por mes, 3.5 baños disponible a partir 15 agosto"
2026-06-02,https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-venta-en-garcia-gineres-150074807.html,,venta,casa,garcia gineres,3699000,220,400,3,2,2,,no,
2026-06-02,https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-venta-de-una-planta-para-vivir-o-para-149999097.html,,venta,casa,garcia gineres,9250000,2502,6531,3,2,2,3,no,"alberca tipo cacahuate, una planta, portón automatizado, colonia Reparto Dolores Patrón (zona García Ginerés)"
2026-06-02,https://www.inmuebles24.com/propiedades/clasificado/veclcain-hermosa-casa-remodelada-con-alberca-garcia-gineres-149785138.html,,venta,casa,garcia gineres,5100000,244,257,3,3,3,,no,"piscina con cascada, bodega, casa remodelada"
2026-06-02,https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-venta-para-remodelar-centro-limite-garcia-149937301.html,,venta,casa,garcia gineres,2500000,172,231,3,1,1,40,no,"casa para remodelar, fuera de regulación INAH, una planta"
2026-06-02,https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-venta-en-garcia-gineres-149910766.html,,venta,casa,garcia gineres,6900000,300,453,4,3,4,,no,"piscina con deck de madera, bar, adaptador coche eléctrico, una planta, 3.5 baños, inconsistencia: anunciada ""para remodelar"" pero describe acabados premium y dice ""lista para habitar"""
2026-06-02,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-en-garcia-gineres-merida-149988510.html,,venta,departamento,garcia gineres,3482430,72,72,2,2,1,,si,"bodega, terraza, desarrollo con local comercial, precio publicado al 05 feb 2026 — posiblemente desactualizado, solo renders sin fotos reales"
2026-06-02,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-garcia-gineres-149989025.html,,venta,departamento,garcia gineres,6500000,130,130,3,3,2,,no,"penthouse, terraza con techo retráctil, cuarto de servicio con entrada independiente, 3.5 baños"
2026-06-02,https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-venta-en-garcia-gineres-150066778.html,,venta,casa,garcia gineres,5150000,135,135,2,2,1,1,no,"alberca, bodega, parrilla, accesibilidad adultos mayores y discapacidad, dos plantas, casa nueva a estrenar, 2.5 baños"
2026-06-02,https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-domo-en-venta-en-garcia-gineres-149793533.html,,venta,casa,garcia gineres,4785000,158,164,2,2,2,,no,"casa domo, piscina, estudio, 2.5 baños, mobiliario y carpinterías no incluidas en entrega, enganche elevado"
2026-06-02,https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-estilo-colonial-en-esquina-en-garcia-gineres-149793538.html,,venta,casa,garcia gineres,35000000,859,1029,5,3,4,,no,"alberca, cuarto de servicio con acceso independiente, una planta, propiedad en esquina, 9 cámaras de vigilancia, 3.5 baños, posible regulación del INAH sin confirmar"
